mesto,ulice,telefon,email
Karviná,Hrnčířská 46/3,596309411,info.ki-hrncirska@csob.cz
Karviná,tř. Osvobození 1679,596302511,info.ki-osvobozeni@csob.cz
Kladno,Italská 2417-2418,"230 031 221
230 031 222",info.kla-italska@csob.cz
Kladno,T. G. Masaryka 102 (Lidé a Firmy),230032211,info.kla-tgm@csob.cz
Klatovy,náměstí Míru 154/I,376330011,info.klatovy@csob.cz
Kolín,Karlovo nám. 71,230032310,info.kolin@csob.cz
Krnov,Říční okruh 14,554620311,info.krnov@csob.cz
Kroměříž,Riegrovo náměstí 182,573503411,info.kromeriz@csob.cz
Kutná Hora,Husova 108,230032711,info.kutna-hora@csob.cz
Kyjov,Svatoborská 41,518697111,info.kyjov@csob.cz
Liberec,1. máje 18,485399111,info.lib-1.maje@csob.cz
Liberec,1. máje 18,485399111,PBA_Liberec@csob.cz
Liberec,Palachova 1404/2,230048427,info.lib-palachova@csob.cz
Litoměřice,Dlouhá 8,230041711,info.litomerice@csob.cz
Litomyšl,Havlíčkova 1118,461654111,info.litomysl@csob.cz
Litovel,Přemysla Otakara 770,585155911,info.litovel@csob.cz
Litvínov,Rooseveltova 2148,476767411,info.litvinov@csob.cz
Louny,Pražská 95,415626611,info.louny@csob.cz
Mariánské Lázně,Hlavní třída 81/10,354601611,info.marianske-lazne@csob.cz
Mělník,nám. Karla IV. 3359,230031811,info.melnik@csob.cz
Milevsko,nám. E. Beneše 2,382500011,info.milevsko@csob.cz
Mladá Boleslav,Krátká 904,230032061,info.mb-kratka@csob.cz
Mladá Boleslav,Pivovarská 113/II,326717911,info.mb-pivovarska@csob.cz
Moravská Třebová,nám. T. G. Masaryka 6,461353411,info.moravska-trebova@csob.cz
Most,Moskevská 1999,476446011,info.most@csob.cz
Náchod,Karlovo nám. 177,491411111,info.nachod@csob.cz
Nová Paka,Komenského 304,493771111,info.nova-paka@csob.cz
Nové Město nad Metují,Komenského 72,491477411,info.nove-mesto-nad-metuji@csob.cz
Nový Bor,T. G. Masaryka 830,487712811,info.novy-bor@csob.cz
Nový Bydžov,Masarykovo nám. 17,495703711,info.novy-bydzov@csob.cz
Nový Jičín,Štefánikova 12,556764011,info.novyjicin@csob.cz
Nymburk,nám. Přemyslovců 15/10,230031711,info.nymburk@csob.cz
Olomouc,Dolní nám. 28/29,585501111,info.ol-dolni@csob.cz
Olomouc,Dolní nám. 28-29,585501220,PBA_Olomouc@csob.cz
Olomouc,Horní náměstí 6,585501333,info.ol-horni@csob.cz
Olomouc,Jeremenkova 1211/40b,585238011,info.ol-jeremenkova@csob.cz
Olomouc,Jeremenkova 1211/40b,224111111,Corporate.Olomouc@csob.cz
Opava,Hrnčířská 6,553780811,info.op-hrncirska@csob.cz
Opava,Ostrožná 17,553689111,info.op-ostrozna@csob.cz
Orlová - Lutyně,Masarykova 1326,596539411,info.orlova@csob.cz
Ostrava,28. října 216 (Mariánské Hory),595690111,info.ov-28.rijna@csob.cz
Ostrava,Hladnovská 1944 (SLEZSKÁ OSTRAVA),595221311,info.ov-hladnovska@csob.cz
Ostrava,Hlavní třída 703 (Poruba),596940511,info.ov-poruba@csob.cz
Ostrava,Hollarova 5,596106111,info.ov-hollarova@csob.cz
Ostrava,Hollarova 5,596106111,Corporate.Ostrava@csob.cz
Ostrava,Hollarova 5,596106111,PBA_Ostrava@csob.cz
Ostrava,Horní 47/1471 (Hrabůvka),595700411,info.ov-hrabuvka@csob.cz
Ostrava,Nádražní 170,595134711,info.ov-nadrazni-privoz@csob.cz
Ostrava,nám. Antonie Bejdové 10,595690711,info.ov-17.listopadu@csob.cz
Ostrava,Výškovická 118A,595705022,info.ov-zabreh@csob.cz
Ostrov nad Ohří,Brigádnická 1359,353808911,info.ostrov@csob.cz
Otrokovice,náměstí 3. května 1571,577 197 911-4,info.otrokovice@csob.cz
Pardubice,tř. Míru 63,466855111,info.pardubice@csob.cz
Pardubice,třída Míru 63,800110808,PBA_Pardubice@csob.cz
Pelhřimov,Příkopy 1754,565300011,info.pelhrimov@csob.cz
Písek,Karlova 107,382751301,info.pisek@csob.cz
Plzeň,Americká 2487/60,377219111,info.plz-americka@csob.cz
Plzeň,Americká 2487/60,377219111,Corporate.Plzen@csob.cz
Plzeň,Francouzská třída 2017/5,377454911,info.plzen-francouzska@csob.cz
Plzeň,Masarykova 647/66,371409511,info.plz-masarykova@csob.cz
Plzeň,nám. T. G. Masaryka 12,377219221,info.plz-nam-tgm@csob.cz
Plzeň,náměstí T. G. Masaryka 12,377219354,PBA_Plzen@csob.cz
Plzeň,Sedláčkova 26A,377150911,info.plz-sedlackova@csob.cz
Plzeň,Smetanovy sady 3,377150811,info.plz-smetanovy-sady@csob.cz
Poděbrady,Riegrovo nám. 9/III,230032521,info.podebrady@csob.cz
Praha 1,Jeruzalémská 962/3,221475211,info.pra-jeruzalemska@csob.cz
Praha 1,Na Poříčí 24,261359495,info.pra-na-porici24@csob.cz
Praha 1,Na Příkopě 18,261356711,info.pra-na-prikope@csob.cz
Praha 1,Nám. Republiky 7,261356211,info.pra-nam-republiky@csob.cz
Praha 1,Ovocný trh 8 (PALÁC MYSLBEK),230026913,PBA_Praha1@csob.cz
Praha 1,Perlová 5,261356611,info.pra-perlova@csob.cz
Praha 1,Václavské nám 32,261356010,info.pra-vaclavske-nam@csob.cz
Praha 1,Washingtonova 5,230022519,info.pra-washingtonova@csob.cz
Praha 10,Kodaňská 48,230027520,info.pra-kodanska@csob.cz
Praha 10,Moskevská 25/369,271011511,info.pra-moskevska@csob.cz
Praha 10,Švehlova 3125/10,230027011,info.pra-svehlova@csob.cz
Praha 10,Vinohradská 167 (STRAŠNICE),230027811,info.pra-vinohradska167@csob.cz
Praha 2,Anglická 20,261352096,info.pra-anglicka@csob.cz
Praha 2,Bělehradská 110,230022915,info.pra-tylovo-nam@csob.cz
Praha 2,Lazarská 6,221506611,info.pra-lazarska@csob.cz
Praha 2,Na Moráni 360/3,230022611,info.pra-na-morani@csob.cz
Praha 3,Biskupcova 7,224902917,info.pra-biskupcova@csob.cz
Praha 3,Olšanská 1a,221015411,info.pra-olsanska@csob.cz
Praha 3,Vinohradská 90 (VINOHRADY),230026711,info.pra-vinohradska90@csob.cz
Praha 4,Arkalycká 758/2,230027611,info.pra-arkalycka@csob.cz
Praha 4,Na Pankráci 310/60,261355025,info.pra-na-pankraci@csob.cz
Praha 4,Na Pankráci 310/60,800110808,PBA_Praha_Pankrac@csob.cz
Praha 4,Náměstí Bratří Synků 10,230024501,info.pra-nam-bratri-synku@csob.cz
Praha 4,Novodvorská 1800/136 (Novo Plaza),241097411,info.pra-novodvorska@csob.cz
Praha 4,Olbrachtova 1946/64,230024011,info.pra-olbrachtova@csob.cz
Praha 4,Roztylská 2321/19,230027051,info.pra-roztylska@csob.cz
Praha 4,Sofijské nám. 3401/5,230024111,info.pra-sofijske-nam@csob.cz
Praha 5,Arbesovo nám. 7/257,230023812,info.pra-arbesovo-nam@csob.cz
Praha 5,Lidická 43/66,257011811,info.pra-lidicka@csob.cz
Praha 5,Mukařovského 1986,251050011,info.pra-mukarovskeho@csob.cz
Praha 5,Nádražní 762/32,230026032,info.pra-nadrazni@csob.cz
Praha 5,nám. 14. října 17/642 (Portheimka Center),230026011,PBA_Praha3@csob.cz
Praha 5,Petržílkova 2589/19,230021011,info.pra-petrzilkova@csob.cz
Praha 5,Radlická 333/150,224114027,info.pra-radlicka@csob.cz
Praha 5,Radlická 333/150,224111111,fvs@csob.cz
Praha 5,Radlická 333/150 (POBOČKA 1),224111111,Corporate.PrahaI@csob.cz
Praha 5,Radlická 333/150 (POBOČKA 2),224111111,Corporate.PrahaII@csob.cz
Praha 5,Radlická 333/150 (POBOČKA 3),224111111,Corporate.PrahaIII@csob.cz
Praha 5,Zbraslavské náměstí 461,257182511,info.pra-zbraslavske-nam@csob.cz
Praha 6,Banskobystrická 2080/11,230023711,info.pra-banskobystricka@csob.cz
Praha 6,Bělohorská 233/95,230022414,info.pra-belohorska@csob.cz
Praha 6,Dejvická 40,233084611,info.pra-dejvicka@csob.cz
Praha 6,Makovského 1179 (ŘEPY),235097111,info.pra-makovskeho@csob.cz
Praha 7,Kamenická 26/599,233028911,info.pra-kamenicka@csob.cz
Praha 7,Komunardů 1130/25,230022973,info.pra-komunardu@csob.cz
Praha 8,Ke Stírce 50,284007211,info.pra-ke-stirce@csob.cz
Praha 8,Na Žertvách 19,230028706,info.pra-na-zertvach@csob.cz
Praha 8,Sokolovská 394/17,"720 742 145
725 295 452",info.pra-sokolovska@csob.cz
Praha 8,Thámova 20,230022711,info.pra-thamova@csob.cz
Praha 9,Freyova 35,230028811,info.pra-freyova@csob.cz
Praha 9,Chlumecká 765/6,230028911,info.pra-chlumecka@csob.cz
Praha 9,Prosecká 851/64,286028711,info.pra-prosecka@csob.cz
Prachatice,Nádražní 67,388300311,info.prachatice@csob.cz
Prostějov,Dukelská brána 5,582300111,info.prostejov@csob.cz
Prostějov,Sídliště Svobody 3576,582319311,info.prostejov-sidliste-svobody@csob.cz
Průhonice,Uhříněveská 364,267227611,info.pra-pruhonice@csob.cz
Přerov,Čechova 4,581705611,info.pr-cechova@csob.cz
Přerov,Kratochvílova 5,581299611,info.pr-kratochvilova@csob.cz
Přeštice,Hlávkova 11,377233811,info.prestice@csob.cz
Příbram,náměstí T. G. Masaryka 143,318492811,info.pribram@csob.cz
Rakovník,Husovo náměstí 17,230031211,info.rakovnik@csob.cz
Rokycany,Masarykovo nám. 95,371769211,info.rokycany@csob.cz
Roudnice nad Labem,Špindlerova 681,416807011,info.roudnice-nad-labem@csob.cz
Rožnov pod Radhoštěm,Nerudova 2201,571665811,info.roznov@csob.cz
Rychnov nad Kněžnou,Staré nám. 47,494510311,info.rychnov-nad-kneznou@csob.cz
Říčany,Barákova 237,230027851,info.ricany@csob.cz
Semily,Špidlenova 36,481629811,info.semily@csob.cz
Slaný,Masarykovo nám. 1/9,312500911,info.slany@csob.cz
Sokolov,5. května 714,352633211,info.sokolov@csob.cz
Strakonice,Lidická 514,383361111,info.str-lidicka@csob.cz
Strakonice,Palackého náměstí 106,230038391,info.str-palackeho-nam@csob.cz
Stříbro,Masarykovo nám. 437,374619011,info.stribro@csob.cz
Sušice,Náměstí Svobody 2,376546411,info.susice@csob.cz
Svitavy,nám. Míru 97,461544611,info.svitavy@csob.cz
Šternberk,Oblouková 2,585003611,info.sternberk@csob.cz
Šumperk,Hlavní třída 29,583380111,info.sumperk@csob.cz
Tábor,Husovo náměstí 583,381205011,info.tab-husovo-nam@csob.cz
Tábor,nám. Fr. Křižíka 348/1,381761011,info.tab-nam-fr-krizika@csob.cz
Tachov,nám. Republiky 115,374756611,info.tachov@csob.cz
Temelín,Jaderná elektrárna,381104090,info.temelin@csob.cz
Teplice,Kollárova 9,417511111,info.teplice@csob.cz
Teplice,Kollárova 9,417511218,PBA_Teplice@csob.cz
Teplice,nám. Svobody 3316,730 858 623  730 858 622,info.tep-nam-svobody@csob.cz
Tišnov,Brněnská 151,549436311,info.tisnov@csob.cz
Toužim,Nám. Jiř. z Poděbrad 107,353300911,info.touzim@csob.cz
Trutnov,Horská 888,499859811,info.trutnov@csob.cz
Třebíč,Karlovo nám. 21,568837311,info.trebic@csob.cz
Třeboň,Na Sadech 6,384700011,info.trebon@csob.cz
Třinec,Lidická 1264,558307411,info.trinec@csob.cz
Turnov,nám. Českého ráje 1,481363111,info.turnov@csob.cz
Týn nad Vltavou,nám. Míru 25,385100113,info.tyn-nad-vltavou@csob.cz
Uherské Hradiště,Všehrdova 487,572419611,info.uherske-hradiste@csob.cz
Uherský Brod,Masarykovo nám. 72,572610711,info.uhersky-brod@csob.cz
Uničov,Masarykovo nám. 2,585087411,info.unicov@csob.cz
Ústí nad Labem,Masarykova 706,475318211,info.usti-masarykova@csob.cz
Ústí nad Labem,Mírové náměstí 1/1,475231111,info.usti-mirove-nam@csob.cz
Ústí nad Labem,Mírové náměstí 1/1,224111111,Corporate.UstiNadLabem@csob.cz
Ústí nad Labem,Mírové náměstí 3428/5a,,
Ústí nad Orlicí,Komenského 156,465569311,info.usti-nad-orlici@csob.cz
Valašské Meziříčí,Sokolská 1268,571665711,info.valasske-mezirici@csob.cz
Varnsdorf,Národní 512,412354311,info.varnsdorf@csob.cz
Velké Meziříčí,Náměstí 85,566655611,info.velke-mezirici@csob.cz
Vimperk,Pivovarská 66,388300011,info.vimperk@csob.cz
Vlašim,Komenského 40,317712011,info.vlasim@csob.cz
Vrchlabí,Krkonošská 177,499404511,info.vrchlabi@csob.cz
Vsetín,Smetanova 1269,571 489 311-28,info.vsetin@csob.cz
Vysoké Mýto,náměstí Přemysla Otakara II. 215,465467811,info.vysoke-myto@csob.cz
Vyškov,Dobrovského 4,517317411,info.vyskov@csob.cz
Zábřeh,Žižkova 2309/33a,583480611,info.zabreh@csob.cz
Zlín,Dlouhá 136,577641111,info.zli-dlouha@csob.cz
Zlín,Dlouhá 136,800110808,PBA_Zlin@csob.cz
Zlín,nám. T. G. Masaryka 4349,577641330,info.zli-nam-tgm@csob.cz
Zlín,Okružní 5290,577127011,info.zli-okruzni@csob.cz
Zlín,tř. Tomáše Bati 398,577120011,info.zli-t-bati-louky@csob.cz
Znojmo,Masarykovo náměstí 234/1,515209111,info.znojmo@csob.cz
Žamberk,Kostelní 85,465670111,info.zamberk@csob.cz
Žatec,Obránců míru 169,415735611,info.zatec@csob.cz
Žďár nad Sázavou,nám. Republiky 26,566654111,info.zdar-nad-sazavou@csob.cz
